1,0,771.57,604.20,73.07,229.56,0.9234,-1,-1,-1
1,1,667.93,636.88,64.76,140.82,0.9043,-1,-1,-1
1,2,1386.98,468.86,47.80,177.98,0.8884,-1,-1,-1
1,3,1176.13,638.85,41.62,122.62,0.8876,-1,-1,-1
1,4,1823.77,639.35,62.44,159.72,0.8190,-1,-1,-1
1,5,60.93,595.06,51.11,194.10,0.7934,-1,-1,-1
1,6,928.91,628.43,52.31,144.63,0.7836,-1,-1,-1
1,7,247.43,647.68,43.06,89.59,0.7187,-1,-1,-1
2,0,771.49,602.84,73.35,231.26,0.9240,-1,-1,-1
2,1,669.11,637.06,62.90,140.74,0.8867,-1,-1,-1
2,2,1176.08,638.81,41.65,122.61,0.8856,-1,-1,-1
2,3,1387.07,468.79,50.73,178.25,0.8783,-1,-1,-1
2,4,1823.77,639.41,62.37,159.81,0.8333,-1,-1,-1
2,5,60.63,595.10,51.98,194.09,0.7899,-1,-1,-1
2,6,930.11,627.66,51.53,145.50,0.7731,-1,-1,-1
2,7,247.17,647.72,43.41,89.57,0.7327,-1,-1,-1
3,0,771.53,602.85,73.27,231.28,0.9239,-1,-1,-1
3,1,1176.14,638.82,41.59,122.58,0.8862,-1,-1,-1
3,2,669.17,637.05,62.85,140.78,0.8860,-1,-1,-1
3,3,1387.07,468.78,50.61,178.18,0.8784,-1,-1,-1
3,4,1823.75,639.41,62.39,159.79,0.8320,-1,-1,-1
3,5,60.70,595.11,51.89,194.08,0.7889,-1,-1,-1
3,6,930.23,627.70,51.44,145.46,0.7716,-1,-1,-1
3,7,247.18,647.73,43.35,89.54,0.7307,-1,-1,-1
4,0,771.82,601.73,73.30,232.82,0.9228,-1,-1,-1
4,1,670.43,638.21,59.67,139.16,0.8939,-1,-1,-1
4,2,1176.14,638.75,41.41,122.55,0.8856,-1,-1,-1
4,3,1387.04,468.85,50.92,178.29,0.8607,-1,-1,-1
4,4,1823.55,639.50,62.70,159.63,0.8353,-1,-1,-1
4,5,60.78,595.11,51.64,194.17,0.7970,-1,-1,-1
4,6,931.59,628.12,49.16,145.02,0.7735,-1,-1,-1
4,7,247.95,647.59,42.41,89.70,0.7288,-1,-1,-1
5,0,771.21,600.21,73.91,233.82,0.9330,-1,-1,-1
5,1,670.28,637.05,57.49,140.22,0.9129,-1,-1,-1
5,2,1823.23,639.47,63.28,159.66,0.8888,-1,-1,-1
5,3,1176.47,639.03,40.62,122.41,0.8836,-1,-1,-1
5,4,1387.08,468.88,53.36,177.36,0.8468,-1,-1,-1
5,5,60.69,595.43,54.10,193.89,0.7629,-1,-1,-1
5,6,928.66,626.34,53.25,146.70,0.7458,-1,-1,-1
5,7,247.17,647.16,43.74,89.73,0.7422,-1,-1,-1
6,0,771.17,599.62,74.41,231.44,0.9248,-1,-1,-1
6,1,669.87,638.73,57.28,137.89,0.8871,-1,-1,-1
6,2,1823.46,639.46,63.78,159.41,0.8821,-1,-1,-1
6,3,1176.83,639.04,40.68,122.03,0.8772,-1,-1,-1
6,4,1387.16,469.04,60.82,177.66,0.8353,-1,-1,-1
6,5,61.08,595.29,55.52,194.11,0.7583,-1,-1,-1
6,6,247.51,647.33,43.80,89.47,0.7329,-1,-1,-1
6,7,930.10,626.90,52.53,145.83,0.7217,-1,-1,-1
7,0,767.74,599.55,77.76,227.33,0.9230,-1,-1,-1
7,1,668.76,638.11,56.90,138.98,0.8986,-1,-1,-1
7,2,1823.54,639.37,63.69,159.56,0.8806,-1,-1,-1
7,3,1176.79,639.01,40.74,122.35,0.8788,-1,-1,-1
7,4,1387.35,469.09,60.85,178.19,0.8317,-1,-1,-1
7,5,61.04,595.48,55.79,193.88,0.7580,-1,-1,-1
7,6,247.43,647.28,43.83,89.57,0.7325,-1,-1,-1
7,7,930.98,626.65,51.61,145.48,0.7241,-1,-1,-1
8,0,763.98,599.29,80.16,227.51,0.9229,-1,-1,-1
8,1,667.06,638.13,56.72,139.04,0.9024,-1,-1,-1
8,2,1823.00,639.26,64.19,159.64,0.8816,-1,-1,-1
8,3,1387.60,469.12,48.75,179.23,0.8806,-1,-1,-1
8,4,1176.73,639.00,40.27,122.18,0.8803,-1,-1,-1
8,5,60.91,595.34,55.61,193.93,0.7661,-1,-1,-1
8,6,930.22,625.10,51.59,146.72,0.7529,-1,-1,-1
8,7,247.67,647.08,43.25,89.75,0.7288,-1,-1,-1
9,0,763.95,599.30,80.09,227.53,0.9227,-1,-1,-1
9,1,667.01,638.16,56.76,139.03,0.9023,-1,-1,-1
9,2,1387.63,469.11,48.29,179.21,0.8811,-1,-1,-1
9,3,1823.02,639.28,64.17,159.59,0.8804,-1,-1,-1
9,4,1176.84,639.00,40.17,122.20,0.8803,-1,-1,-1
9,5,60.93,595.44,55.28,193.84,0.7666,-1,-1,-1
9,6,930.36,625.08,51.35,146.66,0.7550,-1,-1,-1
9,7,247.68,647.07,43.32,89.76,0.7289,-1,-1,-1
10,0,762.62,598.63,79.83,227.51,0.9219,-1,-1,-1
10,1,1387.67,469.17,44.56,178.87,0.9006,-1,-1,-1
10,2,663.43,637.43,57.38,138.66,0.8868,-1,-1,-1
10,3,1176.74,638.80,40.11,122.23,0.8815,-1,-1,-1
10,4,1823.48,639.21,63.86,159.83,0.8746,-1,-1,-1
10,5,60.82,595.20,54.76,194.12,0.7785,-1,-1,-1
10,6,927.94,625.25,52.86,147.21,0.7577,-1,-1,-1
10,7,246.66,646.79,44.30,90.19,0.7287,-1,-1,-1
11,0,758.62,599.08,82.08,228.59,0.9157,-1,-1,-1
11,1,1388.18,468.65,44.54,179.60,0.9046,-1,-1,-1
11,2,662.26,637.53,53.79,138.01,0.8811,-1,-1,-1
11,3,1176.94,638.60,40.33,122.28,0.8788,-1,-1,-1
11,4,1823.76,638.97,63.90,160.08,0.8654,-1,-1,-1
11,5,61.19,594.89,54.49,194.42,0.7706,-1,-1,-1
11,6,927.81,625.05,53.15,147.47,0.7519,-1,-1,-1
11,7,247.74,646.54,42.83,90.12,0.7380,-1,-1,-1
12,0,759.53,599.73,78.84,229.11,0.9220,-1,-1,-1
12,1,1388.06,469.27,44.66,179.26,0.9124,-1,-1,-1
12,2,1176.90,638.82,40.46,122.42,0.8803,-1,-1,-1
12,3,661.49,638.78,51.62,136.71,0.8675,-1,-1,-1
12,4,1823.78,639.00,64.19,159.99,0.8527,-1,-1,-1
12,5,61.22,595.13,52.68,194.27,0.7816,-1,-1,-1
12,6,925.61,627.59,54.84,145.22,0.7477,-1,-1,-1
12,7,247.74,646.48,42.79,90.35,0.7405,-1,-1,-1
13,0,759.69,600.46,77.18,228.18,0.9189,-1,-1,-1
13,1,1388.28,469.23,43.89,179.34,0.9128,-1,-1,-1
13,2,1176.74,639.19,40.69,122.37,0.8750,-1,-1,-1
13,3,1823.07,639.14,64.78,159.95,0.8518,-1,-1,-1
13,4,660.75,638.01,51.63,137.36,0.8494,-1,-1,-1
13,5,61.10,595.30,55.41,193.99,0.7708,-1,-1,-1
13,6,248.52,645.90,42.52,91.05,0.7419,-1,-1,-1
13,7,923.30,631.25,55.36,141.44,0.7345,-1,-1,-1
14,0,759.11,601.14,76.29,227.72,0.9256,-1,-1,-1
14,1,1388.05,469.13,43.77,178.51,0.9165,-1,-1,-1
14,2,1176.78,638.97,40.70,122.56,0.8788,-1,-1,-1
14,3,660.88,637.96,50.03,137.76,0.8625,-1,-1,-1
